County Name,State Name,State Geography ID,Technology,Geography ID,Technical Generation Potential - MWh MWh
Marion,Alabama,G01,commercial_pv,G0100930,96770.37
Marion,Alabama,G01,distributed_wind,G0100930,9553221.5
Marshall,Alabama,G01,utility_pv,G0100950,36416254.67
Marshall,Alabama,G01,land_based_wind,G0100950,2135988.15
Marshall,Alabama,G01,csp,G0100950,0.0
Marshall,Alabama,G01,residential_pv,G0100950,201241.53
Marshall,Alabama,G01,commercial_pv,G0100950,320280.97
Marshall,Alabama,G01,distributed_wind,G0100950,8234972.23
Mobile,Alabama,G01,utility_pv,G0100970,85206238.91
Mobile,Alabama,G01,land_based_wind,G0100970,1053201.12
Mobile,Alabama,G01,csp,G0100970,6546730.46
Mobile,Alabama,G01,residential_pv,G0100970,897813.12
Mobile,Alabama,G01,commercial_pv,G0100970,1280523.34
Mobile,Alabama,G01,distributed_wind,G0100970,12328931.84
Monroe,Alabama,G01,utility_pv,G0100990,72299322.07
Monroe,Alabama,G01,land_based_wind,G0100990,7499265.38
Monroe,Alabama,G01,csp,G0100990,22696570.88
Monroe,Alabama,G01,residential_pv,G0100990,44375.42
Monroe,Alabama,G01,commercial_pv,G0100990,59441.1
Monroe,Alabama,G01,distributed_wind,G0100990,6775270.15
Montgomery,Alabama,G01,utility_pv,G0101010,65860850.85
Montgomery,Alabama,G01,land_based_wind,G0101010,1378167.5
Montgomery,Alabama,G01,csp,G0101010,10352940.11
Montgomery,Alabama,G01,residential_pv,G0101010,600818.27
Montgomery,Alabama,G01,commercial_pv,G0101010,724024.82
Montgomery,Alabama,G01,distributed_wind,G0101010,6915790.49
Morgan,Alabama,G01,utility_pv,G0101030,40630736.17
Morgan,Alabama,G01,land_based_wind,G0101030,1892062.78
Morgan,Alabama,G01,csp,G0101030,0.0
Morgan,Alabama,G01,residential_pv,G0101030,276127.6
Morgan,Alabama,G01,commercial_pv,G0101030,536340.06
Morgan,Alabama,G01,distributed_wind,G0101030,6992194.86
Perry,Alabama,G01,utility_pv,G0101050,39470461.19
Perry,Alabama,G01,land_based_wind,G0101050,3781976.99
Perry,Alabama,G01,csp,G0101050,10299933.23
Perry,Alabama,G01,residential_pv,G0101050,15740.23
Perry,Alabama,G01,commercial_pv,G0101050,27850.46
Perry,Alabama,G01,distributed_wind,G0101050,4318002.55
Pickens,Alabama,G01,utility_pv,G0101070,58476086.89
