State Name,Technology,Geography ID,Technical Generation Potential - MWh MWh
Michigan,commercial_pv,G26,27001398.67
Michigan,distributed_wind,G26,854354162.55
Michigan,floating_pv,G26,6757620.622
Michigan,biopower,G26,99588740.8065185
Michigan,offshore_wind,G26,285147893.7396616
Michigan,hydro,G26,2370413.5690092267
Michigan,land_based_wind,G26,163894719.87
Indiana,utility_pv,G18,3453123080.96
Indiana,csp,G18,0.0
Indiana,residential_pv,G18,15332584.46
Indiana,commercial_pv,G18,17659833.08
Indiana,distributed_wind,G18,678910342.23
Indiana,floating_pv,G18,1461824.6430000002
Indiana,biopower,G18,31877904.229777776
Indiana,offshore_wind,G18,10919966.729141481
Indiana,hydro,G18,5939920.759394395
Indiana,land_based_wind,G18,240672660.71
